CO_ITEM,TP_SEXO,TX_GABARITO,answer_distribution,correct_probability
67229,M,A,[0.2173044  0.19353784 0.22520158 0.17836374 0.1799914  0.00560104],0.21730440246011556
67980,F,E,[0.17953722 0.20438591 0.29877945 0.1710835  0.13947078 0.00674314],0.13947078088184625
67980,M,E,[0.1850249  0.19371083 0.29443388 0.13923464 0.18089818 0.00669755],0.18089818435006158
68123,F,B,[0.06543718 0.25821793 0.08567183 0.10690445 0.47997766 0.00379095],0.2582179313609138
68123,M,B,[0.08228536 0.33424294 0.09771973 0.12523298 0.35676316 0.00375582],0.334242943602378
68369,F,A,[0.2477926  0.18334296 0.13477929 0.19393187 0.23615263 0.00400064],0.24779260012041945
68369,M,A,[0.30905549 0.1573416  0.10817176 0.17717048 0.243988   0.00427267],0.30905548711906167
68538,F,D,[0.32283465 0.22834646 0.1496063  0.15748031 0.13385827 0.00787402],0.15748031496062992
68538,M,D,[0.27272727 0.15909091 0.24431818 0.1875     0.13068182 0.00568182],0.1875
75825,F,B,[0.11005415 0.33671418 0.27420222 0.12574523 0.14817944 0.00510478],0.33671418478468934
75825,M,B,[0.09845884 0.40239007 0.24792325 0.12276525 0.1233062  0.00515639],0.40239007016228373
75829,F,C,[0.22048766 0.23179004 0.27404996 0.15433962 0.11510498 0.00422773],0.2740499566698802
75829,M,C,[0.21046141 0.21114161 0.30768839 0.15750495 0.10789192 0.00531171],0.307688393765733
75845,F,D,[0.09036997 0.23626585 0.3208865  0.27122915 0.07698595 0.00426259],0.2712291516695638
75845,M,D,[0.11350505 0.27796868 0.28911181 0.24977996 0.06530345 0.00433106],0.24977996407084554
76318,F,C,[0.23064868 0.13553883 0.3735874  0.06264108 0.19073556 0.00684845],0.3735873960058416
76318,M,C,[0.23868478 0.15125014 0.3439435  0.07038672 0.18860874 0.00712612],0.3439434967530301
78112,F,E,[0.12918379 0.14489314 0.14516982 0.07469747 0.50150089 0.00455488],0.5015008927048784
78112,M,E,[0.11629532 0.17092818 0.16907102 0.08509185 0.45393391 0.00467972],0.45393390819988216
78377,F,B,[0.2216527  0.27904162 0.23887773 0.16806518 0.08845783 0.00390493],0.27904162127735105
78377,M,B,[0.21095415 0.32564271 0.24163275 0.14721895 0.06980076 0.00475068],0.325642707942799
78716,F,C,[0.15148749 0.13523522 0.46816889 0.05982341 0.18341605 0.00186894],0.4681688934983938
78716,M,C,[0.14296369 0.14595897 0.50626239 0.06035965 0.14246693 0.00198838],0.5062623855176477
81969,F,A,[0.21352004 0.12123298 0.23649632 0.11869408 0.30700695 0.00304964],0.21352004148554443
81969,M,A,[0.28459643 0.1013537  0.21189813 0.09321408 0.30551256 0.0034251 ],0.28459643297091747
81994,F,C,[0.15272562 0.08901729 0.39373506 0.16249491 0.19815438 0.00387274],0.3937350563291558
81994,M,C,[0.15676986 0.09259279 0.38709228 0.15140592 0.20815436 0.00398479],0.3870922821487869
82581,F,A,[0.16049459 0.13610878 0.33696999 0.24832509 0.11455596 0.00354559],0.1604945898256006
82581,M,A,[0.20305822 0.14563628 0.28555648 0.24266376 0.11896256 0.0041227 ],0.20305821862781853
82765,F,E,[0.11977298 0.16562721 0.09798611 0.33270919 0.28181109 0.00209342],0.28181109459887443
82765,M,E,[0.15370227 0.13087007 0.07640726 0.27402255 0.36254084 0.00245702],0.36254083873386533
82962,F,A,[0.29037967 0.28106804 0.13354552 0.19405542 0.09452057 0.00643078],0.2903796692989569
82962,M,A,[0.36808419 0.25857078 0.11706791 0.16393739 0.08657142 0.0057683 ],0.3680841947405067
83727,F,C,[0.35433071 0.16535433 0.16535433 0.14173228 0.16535433 0.00787402],0.16535433070866143
83727,M,C,[0.27840909 0.24431818 0.19886364 0.13636364 0.13636364 0.00568182],0.19886363636363635
83806,F,E,[0.15828197 0.07143031 0.27362014 0.05995566 0.43047865 0.00623327],0.43047864991003343
83806,M,E,[0.16397622 0.07574179 0.23059558 0.0642333  0.4593822  0.00607091],0.45938219698998445
