CO_ITEM,NSE_CLASS,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
18228,Very Low,0,D,[0.18579137 0.29856115 0.19190647 0.19244604 0.12841727 0.0028777 ],0.19244604316546762
18228,Very Low,1,D,[0.16241343 0.3144104  0.17981216 0.20650792 0.13397211 0.00288398],0.20650792144957783
18228,Very Low,2,D,[0.17073961 0.31388691 0.18971068 0.19318943 0.12936194 0.00311143],0.1931894297876018
18228,Very Low,3,D,[0.18858706 0.30772048 0.18586941 0.18775995 0.12749315 0.00256995],0.18775994895547785
18228,Very Low,4,D,[0.18465347 0.3019802  0.19570957 0.1859736  0.12838284 0.00330033],0.18597359735973598
18228,Very Low,5,D,[0.21950501 0.27961108 0.2053624  0.17589864 0.11461402 0.00500884],0.1758986446670595
19807,Medium,0,E,[0.07118205 0.15232959 0.51462468 0.16419327 0.09400345 0.00366695],0.09400345125107852
19807,Medium,1,E,[0.06218769 0.14616023 0.56372082 0.14804834 0.07757889 0.00230404],0.0775788856668066
19807,Medium,2,E,[0.07611956 0.16953623 0.50987837 0.16480099 0.07658572 0.00307913],0.07658572190906135
19807,Medium,3,E,[0.06989596 0.16172195 0.52022294 0.16673765 0.07871302 0.00270848],0.07871302462443859
19807,Medium,4,E,[0.06824237 0.1567254  0.52028363 0.1647615  0.08702192 0.00296519],0.08702191663085518
19807,Medium,5,E,[0.08096758 0.17470183 0.46178397 0.18310096 0.09558206 0.0038636 ],0.09558205946581555
19807,Very High,0,E,[0.04986761 0.10723742 0.53442189 0.15511915 0.14916152 0.00419241],0.14916151809355693
19807,Very High,1,E,[0.04503451 0.10191925 0.55885529 0.1497881  0.14189244 0.00251042],0.14189243906169863
19807,Very High,2,E,[0.06340283 0.14381271 0.54401195 0.14822458 0.09634953 0.00419839],0.09634953390735074
19807,Very High,3,E,[0.05389175 0.12019513 0.55724166 0.1483374  0.11723116 0.00310291],0.11723115872672821
19807,Very High,4,E,[0.03899411 0.09024351 0.50549101 0.16266115 0.19910871 0.00350151],0.19910870603215025
