CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
18228,GO,D,[0.1377423  0.30742931 0.17407445 0.23517586 0.14320093 0.00237714],0.23517586464951798
18228,MA,D,[0.16394133 0.31282086 0.1654217  0.22418851 0.13112862 0.00249898],0.22418851011815835
18228,MG,D,[0.09504584 0.28963329 0.14102022 0.36560296 0.10669958 0.00199812],0.36560296191819464
18228,MS,D,[0.12492783 0.21485988 0.18417196 0.39081583 0.08282631 0.00239819],0.39081582804103565
18228,MT,D,[0.12384312 0.30615025 0.16515908 0.26836168 0.1335522  0.00293368],0.26836168057835363
18228,PA,D,[0.15761562 0.31471976 0.15949104 0.22616249 0.13934603 0.00266506],0.2261624881104072
18228,PB,D,[0.14797471 0.31895402 0.17055204 0.22804649 0.13257563 0.00189711],0.2280464877798667
18228,PE,D,[0.13120412 0.32540757 0.16955859 0.22788636 0.14351225 0.00243112],0.2278863571360473
18228,PI,D,[0.14984986 0.31815796 0.15932047 0.22735768 0.14310913 0.00220491],0.22735767833518825
18228,PR,D,[0.11239007 0.33595465 0.16052889 0.2413267  0.14782749 0.00197219],0.24132670147976334
18228,RJ,D,[0.11048802 0.30930257 0.17390594 0.23129725 0.17256433 0.00244188],0.23129724933451642
18228,RN,D,[0.13397587 0.32692712 0.16463007 0.24190618 0.13039986 0.0021609 ],0.24190618247184137
18228,RO,D,[0.13279342 0.32748425 0.17071603 0.22085101 0.14558427 0.00257102],0.22085100912713718
18228,RR,D,[0.11911357 0.31100478 0.16469403 0.25232939 0.15033996 0.00251826],0.25232938806346006
18228,RS,D,[0.09731751 0.33295216 0.16287879 0.22789213 0.1764818  0.00247761],0.22789212883552507
18228,SC,D,[0.09711961 0.3564949  0.15790704 0.22037782 0.16564575 0.00245488],0.2203778172636304
18228,SE,D,[0.13763578 0.31048985 0.16656077 0.23881274 0.14398959 0.00251127],0.23881274394118182
18228,SP,D,[0.10855717 0.33577063 0.15733575 0.25336214 0.14303712 0.00193719],0.2533621428305331
18228,TO,D,[0.15080717 0.29337239 0.15952592 0.27852326 0.11538724 0.00238403],0.2785232613582181
19807,AC,E,[0.0751132  0.17108668 0.48536546 0.17828266 0.08707956 0.00307245],0.08707956015523932
19807,AL,E,[0.07188125 0.15426951 0.50630976 0.17155882 0.09236713 0.00361352],0.09236713364465199
