CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
18228,F,D,[0.09965052 0.32312642 0.14890997 0.27880402 0.14754535 0.00196372],0.27880401619792533
18228,G,D,[0.08959821 0.32575893 0.1433125  0.2934375  0.14598214 0.00191071],0.2934375
18228,H,D,[0.07731453 0.32919371 0.12950184 0.31441244 0.14755124 0.00202624],0.3144124375554414
18228,I,D,[0.06631177 0.32888604 0.12098253 0.33975393 0.14221024 0.00185549],0.33975392635461993
18228,J,D,[0.0594615  0.33107384 0.11428842 0.35408916 0.13935305 0.00173403],0.35408916072892366
18228,K,D,[0.05666547 0.33166099 0.10983695 0.36678015 0.13236875 0.00268769],0.366780146927074
18228,L,D,[0.05175097 0.33463035 0.10491687 0.36660771 0.13986558 0.00222851],0.3666077113547931
18228,M,D,[0.04725266 0.3311815  0.10242456 0.37944753 0.13823    0.00146374],0.3794475304008407
18228,N,D,[0.0439348  0.33110438 0.0976387  0.39901787 0.12611012 0.00219413],0.39901786647163306
18228,O,D,[0.04062334 0.32928065 0.09441791 0.40290442 0.13065084 0.00212283],0.4029044241810199
18228,P,D,[0.03650105 0.32465027 0.08897465 0.420968   0.12660128 0.00230476],0.42096800128638046
18228,Q,D,[0.03741468 0.34014483 0.08947894 0.40943899 0.1213168  0.00220576],0.40943898784751126
19807,A,E,[0.08453924 0.17645616 0.42617901 0.19990385 0.10966457 0.00325717],0.10966457043628408
19807,B,E,[0.07930713 0.17509719 0.47188908 0.18222083 0.08873801 0.00274777],0.08873800949328751
19807,C,E,[0.07059466 0.16425772 0.53280891 0.15875667 0.07078414 0.00279789],0.07078413601669893
19807,D,E,[0.06632695 0.15550881 0.55466314 0.15115467 0.06967062 0.0026758 ],0.06967062037860225
19807,E,E,[0.06129049 0.14653108 0.57475121 0.14407843 0.07096018 0.00238861],0.0709601813547817
19807,F,E,[0.05855661 0.1335996  0.58666445 0.14187607 0.07670716 0.00259611],0.07670716148000221
19807,G,E,[0.05566071 0.12849107 0.58920536 0.1419375  0.08228571 0.00241964],0.08228571428571428
19807,H,E,[0.05205659 0.12047248 0.58675008 0.1418647  0.09638172 0.00247444],0.09638171716700127
19807,I,E,[0.04864041 0.10929734 0.57886947 0.14567825 0.114908   0.00260653],0.11490799849793466
19807,J,E,[0.04924648 0.10706854 0.56939277 0.14780251 0.1237783  0.00271139],0.12377829623557601
19807,K,E,[0.04519799 0.10181867 0.56204085 0.15091381 0.13662426 0.00340441],0.13662426088514604
19807,L,E,[0.0439335  0.09950478 0.5575168  0.15153873 0.14474708 0.00275911],0.14474708171206227
19807,M,E,[0.04316169 0.09409248 0.548829   0.15414352 0.15710854 0.00266477],0.15710854226092177
19807,N,E,[0.03954655 0.08692927 0.54142723 0.15541741 0.17464215 0.0020374 ],0.17464214815588758
19807,O,E,[0.03840401 0.08549235 0.52873064 0.15482221 0.189656   0.00289477],0.1896560042456699
19807,P,E,[0.03644745 0.08211395 0.50351075 0.16744385 0.20748245 0.00300155],0.20748244626681675
